,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5
0,110AC,Galen_Cranz,MarieAlice_LHeureux,Sam_Davis,Rosa_Lane,Leonardo_Chiesi
1,118AC,Renée_Y_Chow,NA,NA,NA,NA
2,119,Sara_Ishikawa,NA,NA,NA,NA
3,179AC,Jean_McMann,NA,NA,NA,NA
4,C174B,Dell_Upton,NA,NA,NA,NA
5,180AC,Jill_Stoner,NA,NA,NA,NA
6,Visual,Studies,NA,NA,NA,NA
7,182AC,Lewis_Watts,NA,NA,NA,NA
8,185AC,NA,NA,NA,NA,NA
9,C185A,Lewis_Watts,Susannah_Hays,Hertha_Sweet_Wong,NA,NA
