,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5
0,39AC,Darlene_Francis,NA,NA,NA,NA
1,125AC,Susan_ErvinTripp,NA,NA,NA,NA
2,132AC,Rhona_Weinstein,Clark_McKown,Jennifer_Treuting,NA,NA
3,135AC,Enrico_Jones,NA,NA,NA,NA
4,166AC,Kaiping_Peng,Sita_Patel,Xiaowei_Lu,Matt_Goren,Sara_Gorchoff
5,167AC,Rudolfo_MendozaDenton,Lindsay_Shaw,James_Telesford,Jason_Okonofua,NA
6,192AC,WeiBing_Chen,NA,NA,NA,NA
