,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5
0,42AC,Timothy_Hampton,Emily_Linares,NA,NA,NA
1,142AC,Karl_Britto,Jennifer_Gipson,Maya_Smith,Livi_YoshiokaMaxwell,Catherine_Talley
