,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10
0,XB50AC,Christopher_Lever,Daniel_Stark,Kenneth_Worthy,Kurt_Spreyer,Theodore_Grudin,NA,NA,NA,NA,NA
1,50AC,Lynn_Huntsinger,Sarah_McCaffrey,Sally_Fairfax,Mark_Spencer,Robin_Liffmann,Kurt_Spreyer,Carolyn_Finney,Ken_Worthy,Theodore_GrudinC22AC_Kent_Lightfoot,Scott_Stephens
2,102D,Jeff_Romm,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,155AC,Kathryn_De_Master,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,160AC,C160_Carolyn_Merchant,Sandra_Marburg,Robert_Chester,Ken_Worthy,Mike_Skuja,NA,NA,NA,NA,NA
5,XB160AC,XBW160AC_Sandra_Marburg,Douglas_Greenberg,NA,NA,NA,NA,NA,NA,NA,NA
6,163AC,Dara_ORourke,Torri_Estrada,NA,NA,NA,NA,NA,NA,NA,NA
