,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19
0,117AC,Jason_Corburn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,118AC,Judith_Innes,Arthur_Blaustein,Rula_Sadik,Robert_Ogilvie,Mary_Gail_Snyder,Juan_Onésimo_Sandoval,Patrick_McGovern,Elsie_HarperAnderson,Robert_Smith,David_Campt,Alex_Schafran,Malo_Andre_Hutson,Lisa_Feldstein,Carmen_Rojas,Nicola_Szibbo,Ricardo_Huerta_Nino,Jennifer_Tucker,Jason_Luger,Renee_Roy_Elias
