,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7
0,20AC,Michael_Lucey,Katie_Gilmartin,Carolyn_Dinshaw,Christopher_Nealon,Martin_Meeker,Ute_Rupp,Dawne_Moon
1,56AC,Alex_Saragoza,NA,NA,NA,NA,NA,NA
2,C135,Lewis_Watts,Susannah_Hays,Hertha_Sweet_Wong,NA,NA,NA,NA
3,,NA,NA,NA,NA,NA,NA,NA
