,Course_Number,Instructor_1,Instructor_2
0,20AC,Harvey_Dong,NA
1,W20AC,Harvey_Dong,NA
2,128AC,Hatem_Bazian,NA
3,132AC,Hatem_Bazian,NA
4,143AC,WInston_Tseng,NA
5,145AC,Michael_Chang,NA
6,151AC,Young_Shin,NA
7,190AC,Hatem_Bazian,Irum_Shiekh
