,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15
0,1AC,Taeku_Lee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,N1AC,Jacob_Martin_Grumbach33AC_Michael_Rogin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18AC,Gaston_AlonsoDonate,Donnett_Flash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,60AC,Wendy_Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,111AC,Aaron_Wildavsky,Michael_Sukhov,Nadesan_Permaul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,118AC,D_Paul_Thomas,Dennis_Galvan,Nadesan_Permaul,Keally_McBride,Gaston_AlonsoDonate,Alyson_Cole,Felicia_Wong,Christine_Trost,John_Brady,Edward_King,Jill_Hargis,Alison_Kaufman,Lon_Troyer,Ivan_Ascher,Donnett_Flash
6,167AC,Taeku_Lee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,182AC,Lisa_Garcia_Bedolla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
