,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11
0,25AC,Dunbar_Ogden,Irma_Mayorga,Stephen_Wilmer,Tate_Davis,Brandi_Catanese,Joanne_Taylor,Shannon_Steen,Angela_Marino,Joshua_Williams,Philip_Gotanda,Abigail_De_Kosnik
1,52AC,Jenefer_Johnson,SanSan_Kwan,Krista_DeNio,Michelle_Summers,NA,NA,NA,NA,NA,NA,NA
2,117AC,Shannon_Steen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,118AC,Abigail_De_Kosnik,Michael_St_Clair,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,137AC,Carla_Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,152AC,Jenefer_Johnson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
