,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19,Instructor_20,Instructor_21,Instructor_22,Instructor_23,Instructor_24,Instructor_25
0,C23AC,Gregory_Niemeyer_and_Charis_Thompson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,50AC,Usha_Welaratna,Eric_Smoodin,Elaine_Greco,Catherine_Macklin,Jasbir_Puar,Gillian_Harkins,Amy_Hudock,Jillian_Sandell,Lisa_Hall,Jillian_Sandell,Jacqueline_Fulmer,Jillian_Sandell,Ralina_Joseph,Nitasha_Sharma,Ayse_Agis,Clare_Fischer,Zakkiyah_Jackson,Irum_Shiekh,Barbara_Barnes,Tracy_McMullen,Priya_Kandaswamy,Deirdre_Flynn,Christine_Quinan,Laura_Fantone,Jac_Asher
2,XB50AC,Jillian_Sandell,Aparajita_Nanda,Jacqueline_Fulmer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,100AC,Gwen_Kirkpatrick,Sarah_Herbold,Deborah_Cohler,Eric_Smoodin,Karina_Cespedes,Maura_Daly,Susan_A_George,Ayse_Agis,Juana_Rodriguez,Barbara_Barnes,Kirsten_Vacca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,116AC,Juana_Maria_Rodriguez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,130AC,Charis_Thompson,Laura_Nelson,Barbara_Barnes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,132AC,Juana_Maria_Rodriguez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,133AC,Melinda_Chen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
