,Course_Number,Instructor_1,Instructor_2,Instructor_3
0,20AC,Henry_Miller,NA,NA
1,105AC,Andrew_Scharlach,NA,NA
2,114AC,Valerie_Edwards,NA,NA
3,150AC,Kurt_Organista,NA,NA
4,174AC,Wendy_WalkerMoffat,Evaon_WongKim,NA
5,175AC,Valerie_Edwards,NA,NA
6,185AC,Keith_Feldman,Tina_Sacks,Jonathan_Simon
