,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19,Instructor_20,Instructor_21,Instructor_22,Instructor_23,Instructor_24,Instructor_25,Instructor_26,Instructor_27
0,26AC,Bonnie_Wade,Maria_Johnson,Alan_Mason,Mark_DeWitt,Shannon_Dudley,Benjamin_Brinner,David_Roche,Rajna_Klaser,Steve_Pond,Henry_Spiller,Jocelyne_Guilbault,Stephen_Lessard,Francesca_Rivera_and_Carla_Brunet,Lisa_Gold,Timothy_Fuson,Gregory_Bloch,JohnCarlos_Perea,Rebecca_Bodenheimer,Shalini_Ayyagari,Tamara_Roberts,Raina_Ledoux,Kendra_Salois,Pattie_Hsu,J_Griffith_Rollefson,Ofer_Gazit,Arathi_Govind,Maria_Sonevytsky
1,N26AC,Ben_Brinner,Beezer_de_Martelly,Ritwik_Banerji,Kendra_Van_Nyhuis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,74AC,Sarah_Lappas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,137AC,Tamara_Roberts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,139AC,Sarah_Lappas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
