,Course_Number,Instructor_1,Instructor_2
0,40AC,Alex_Saragoza,NA
1,119AC,TN_Narasimhan,NA
2,170AC,George_Brimhall,NA
3,180AC,Rosemary_Joyce,Kirsten_Vacca
