,Course_Number,Instructor_1,Instructor_2
0,25AC,Maggie_Sokolik,Margi_Wald
1,50AC,Pat_Steenland,NA
2,75AC,Pat_Steenland,NA
3,150AC,Pat_Steenland,NA
4,192AC,Maggie_Sokolik,NA
