,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19,Instructor_20
0,55AC,Leanne_Hinton,Robin_Lakoff,Laurel_Sutton,Mary_Bucholtz,Pamela_Morgan,John_McWhorter,Jocelyn_Ahlers,Anna_Berge,Kevin_Moore,Laura_BuszardWelcher,Rosemary_Beam_de_Azcona,Rose_Wilkerson,William_Weigel,Ramon_Escamilla,Wesley_Leonard,Johnny_George,Michael_Houser,Rebecca_Cover,Rose_Wilkerson,Tammy_Stark
1,XB55AC,Rose_Wilkerson,William_Weigel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,155AC,Richard_Rhodes,Wesley_Y_Leonard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
