,Course_Number,Instructor_1,Instructor_2,Instructor_3
0,Spanish,NA,NA,NA
1,135AC,Gwen_Kirkpatrick,Myrna_GarcíaCalderón,Adam_Lifshey
2,137AC,Candace_Slater,NA,NA
3,165AC,Jerry_Craddock,Juan_Sempere,NA
4,Portuguese,NA,NA,NA
5,137AC,Candace_Slater,NA,NA
