,Course_Number,Instructor_1,Instructor_2,Instructor_3
0,39AC,M_Frances_Van_Loo,Colin_Lacon_and_Karina_Moreno,Colin_Lacon_and_Alicia_Perez
1,156AC,Erika_Walker,NA,NA
2,192AC,David_Harris,NA,NA
