,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4
0,100AC,Larry_Lagerstrom,Frederic_Quivik,Christopher_Ritter,Karen_Wieckert
1,156AC,Liza_Knapp,NA,NA,NA
