,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4
0,C73AC,Tom_Biolosi,NA,NA,NA
1,120AC,J_Diane_Pearson,NA,NA,NA
2,173AC,Thomas_Biolsi,NA,NA,NA
3,178AC,Tiya_Miles,Robert_Collins,Ananda_Sattwa,J_Diane_Pearson
